OrderID,OrderDate,Region,Category,Quantity,UnitPrice,Sales,Profit
ORD-1229,2025-01-02,North,Stationery,4,2134,8536.0,1984.0
ORD-1075,2025-01-02,South,Stationery,7,3218,22526.0,4328.0
ORD-1013,2025-01-02,North,Electronics,4,1658,6632.0,448.0
ORD-1140,2025-01-03,West,Electronics,4,2850,11400.0,2055.0
ORD-1065,2025-01-05,East,Furniture,1,605,605.0,50.0
ORD-1142,2025-01-06,West,Furniture,3,2724,8172.0,1844.0
ORD-1193,2025-01-10,West,Furniture,6,4777,28662.0,4675.0
ORD-1197,2025-01-11,North,Furniture,7,3306,23142.0,6814.0
ORD-1049,2025-01-13,South,Stationery,7,3571,24997.0,3791.0
ORD-1181,2025-01-14,South,Stationery,8,1735,13880.0,2719.0
ORD-1047,2025-01-16,West,Furniture,5,1488,7440.0,1124.0
ORD-1090,2025-01-16,West,Furniture,8,2547,20376.0,5836.0
ORD-1166,2025-01-18,North,Furniture,2,2916,5832.0,329.0
ORD-1132,2025-01-19,North,Stationery,2,1913,3826.0,434.0
ORD-1008,2025-01-20,North,Stationery,5,2207,11035.0,674.0
ORD-1192,2025-01-20,East,Furniture,1,1322,1322.0,326.0
ORD-1212,2025-01-21,South,Stationery,7,2403,16821.0,4790.0
ORD-1174,2025-01-22,South,Furniture,5,2259,11295.0,809.0
ORD-1105,2025-01-22,East,Stationery,4,3707,14828.0,3716.0
ORD-1206,2025-01-29,South,Stationery,3,542,1626.0,371.0
ORD-1093,2025-02-02,East,Electronics,2,3552,7104.0,1076.0
ORD-1146,2025-02-03,South,Stationery,8,4304,34432.0,2025.0
ORD-1066,2025-02-04,South,Electronics,2,1136,2272.0,628.0
ORD-1135,2025-02-04,North,Stationery,4,4628,18512.0,2252.0
ORD-1104,2025-02-08,South,Electronics,6,4547,27282.0,5947.0
ORD-1202,2025-02-09,South,Electronics,1,3491,3491.0,615.0
ORD-1046,2025-02-11,West,Electronics,2,3825,7650.0,872.0
ORD-1018,2025-02-12,South,Furniture,3,266,798.0,127.0
ORD-1199,2025-02-14,West,Electronics,2,1753,3506.0,934.0
ORD-1149,2025-02-17,North,Stationery,2,2475,4950.0,498.0
ORD-1016,2025-02-17,North,Electronics,7,2867,20069.0,3633.0
ORD-1235,2025-02-19,North,Furniture,7,2800,19600.0,1932.0
ORD-1050,2025-02-20,East,Electronics,7,2231,15617.0,4244.0
ORD-1159,2025-02-22,East,Furniture,2,4361,8722.0,2531.0
ORD-1127,2025-02-24,East,Stationery,7,502,3514.0,311.0
ORD-1111,2025-02-24,South,Electronics,2,4327,8654.0,1242.0
ORD-1225,2025-02-24,West,Electronics,9,2815,25335.0,2228.0
ORD-1079,2025-02-25,North,Stationery,6,4339,26034.0,5718.0
ORD-1043,2025-02-27,East,Furniture,8,1484,11872.0,694.0
ORD-1167,2025-03-06,North,Stationery,2,3848,7696.0,628.0
ORD-1084,2025-03-09,West,Stationery,9,4699,42291.0,10396.0
ORD-1161,2025-03-11,West,Stationery,5,227,1135.0,237.0
ORD-1067,2025-03-11,East,Furniture,7,1516,10612.0,804.0
ORD-1071,2025-03-14,West,Electronics,5,3118,15590.0,908.0
ORD-1178,2025-03-18,North,Furniture,8,3807,30456.0,6228.0
ORD-1041,2025-03-19,East,Electronics,4,1219,4876.0,959.0
ORD-1139,2025-03-19,North,Stationery,2,2946,5892.0,357.0
ORD-1007,2025-03-23,East,Furniture,9,571,5139.0,1426.0
ORD-1110,2025-03-23,East,Electronics,8,453,3624.0,870.0
ORD-1179,2025-03-28,North,Electronics,4,4849,19396.0,1457.0
ORD-1131,2025-03-28,North,Electronics,4,1229,4916.0,495.0
ORD-1094,2025-03-30,South,Stationery,1,892,892.0,128.0
ORD-1164,2025-03-30,North,Electronics,2,1322,2644.0,151.0
ORD-1063,2025-03-31,West,Stationery,7,4263,29841.0,8748.0
ORD-1025,2025-04-02,South,Electronics,8,4296,34368.0,4390.0
